TEXTURE_GLRLM_NET_T1_GLV,TEXTURE_GLSZM_ED_FLAIR_SZE,TEXTURE_GLCM_ET_T1_Energy,TEXTURE_NGTDM_ET_FLAIR_Complexity,INTENSITY_Mean_ED_T1Gd,TEXTURE_GLSZM_ED_T2_SZHGE,TEXTURE_GLRLM_ED_T2_GLV,TEXTURE_GLSZM_NET_T2_LGZE,INTENSITY_STD_NET_T1,TEXTURE_GLCM_ED_T2_Homogeneity,TEXTURE_GLRLM_NET_T2_LGRE,HISTO_ET_T1Gd_Bin7,TEXTURE_GLCM_ED_T2_SumAverage,HISTO_ET_T2_Bin6,TEXTURE_GLRLM_NET_T2_SRLGE,TEXTURE_NGTDM_NET_FLAIR_Busyness,INTENSITY_Mean_ET_T1,TEXTURE_GLOBAL_NET_FLAIR_Skewness,TEXTURE_GLSZM_NET_FLAIR_ZP,HISTO_NET_FLAIR_Bin7,SPATIAL_Temporal,INTENSITY_Mean_NET_T2,TEXTURE_GLOBAL_ET_FLAIR_Skewness,TEXTURE_GLSZM_ED_FLAIR_LZLGE,HISTO_ET_T1Gd_Bin2,HISTO_NET_T2_Bin2,TEXTURE_NGTDM_ET_T1Gd_Strength,HISTO_NET_T1_Bin5,TEXTURE_GLCM_ET_T1_Dissimilarity,INTENSITY_Mean_ED_FLAIR,HISTO_ED_T1_Bin2,TEXTURE_GLRLM_ED_T1Gd_LRLGE,TEXTURE_GLCM_ET_T2_AutoCorrelation,TEXTURE_GLSZM_ET_FLAIR_LZLGE,TEXTURE_GLOBAL_ET_T1_Skewness,TEXTURE_GLOBAL_ET_T2_Kurtosis,TEXTURE_GLSZM_ED_T1Gd_LGZE,VOLUME_BRAIN
0.046909,0.64794,0.0010299,3640.7448,131.8402,599.994,0.015084,0.021458,14.8846,0.32258,0.0256029999999999,2.4067,0.0074173999999999,6.4982,0.025219,0.021897,194.1422,0.26689,0.67448,13.5417,100.0,161.1005,0.1474099999999999,1.7123,17.2684,20.8333,4.5464,13.8021,6.0144,171.7623,0.99261,0.054583,1195.7076,0.81865,-0.076458,-1.1993,0.012418,1469432
0.025921,0.7166399999999999,0.0018128,1306.2095,139.2815,877.4414,0.023072,0.026125,11.1316,0.27161,0.0260269999999999,0.45851,0.0079321,24.7364,0.024896,0.1899799999999999,201.24,-0.45941,0.4038,19.8206,4.3321,116.8538,-0.28135,1.0002,31.5222,4.8057,0.59004,28.4663,3.6624,190.0843,1.3293,0.043074,1165.6858,0.56976,0.15444,-1.1408,0.0096268999999999,1295721
0.017781,0.7361,0.0015309,2402.4765,161.579,773.2932,0.019165,0.010019,15.2632,0.2923199999999999,0.022879,2.9158,0.0080548999999999,26.3621,0.019465,1.0688,188.2019,-0.17222,0.19832,52.847,1.31,197.4966,-0.013153,1.9407,24.8623,0.0144,0.3028099999999999,0.1049099999999999,4.0567,116.7452,0.69217,0.057534,1330.8684,2.2748,0.056261,-1.1659,0.01074,1425843
0.027237,0.7270300000000001,0.0013769,5540.79,129.2927,726.7162,0.017236,0.01865,25.3652,0.2574,0.024597,9.3281,0.0082536,30.9477,0.02251,0.2066,199.7626,-0.0072368,0.3523699999999999,15.3025,0.0,194.2708,0.041055,1.0272,2.0472,0.72492,0.64263,14.7489,4.2759,166.1232,0.4429999999999999,0.049707,1303.5701,0.63666,0.012294,-1.2037,0.0071298999999999,1403429
0.021154,0.67718,0.0020154,3094.3823,120.785,701.7317,0.0166879999999999,0.0096141,9.9957,0.30177,0.0213259999999999,11.4743,0.0082738,12.922,0.017225,0.41375,121.4969,-0.0069319,0.4186899999999999,0.95278,18.2056,139.43200000000002,0.0066353,0.91314,13.0002,25.571,0.57936,0.70057,3.6147,174.9837,0.50112,0.069532,1192.5779,9.0107,-0.020657,-1.1652,0.0072967,1365237
0.010575,0.67013,0.0014343,2350.4094,124.4616,639.5689,0.0099574,0.015912,10.645,0.3069199999999999,0.0236,10.6449,0.0082019,29.1902,0.02059,0.91215,126.6807,-0.067382,0.33304,33.9293,0.0070852,188.5995,0.035266,2.4155,1.7778,0.0,0.42461,10.3489,3.8104,169.4158,0.44165,0.092275,1353.4107,7.757999999999999,0.11347,-1.1981,0.0035239,1533461
0.017848,0.66025,0.001921,2136.032,113.2941,480.0108,0.0146349999999999,0.014993,7.0578,0.31784,0.023853,17.7706,0.0059137,18.0703,0.021737,0.51131,103.2147,-0.14049,0.31261,22.4295,11.2395,224.4264,-0.10279,1.2012,0.069164,1.6303,0.44231,28.8747,3.789,148.3228,0.0,0.056865,1387.0795,6.1017,0.15886,-1.1994,0.014777,1478140
0.024749,0.69276,0.0014747,3438.7046,113.1448,703.4479,0.017953,0.024273,10.1327,0.27074,0.025967,7.637,0.0083626,31.9784,0.024653,0.072254,120.2002,0.0017714,0.39689,18.9459,71.6663,200.9321,-0.0031165,1.6776,18.023,0.59354,0.53064,26.2583,4.2359,193.4734,0.089573,0.061369,1148.8767,4.5287,-0.0081447,-1.1515,0.0062938999999999,1428534
0.012486,0.6651600000000001,0.0014442,2215.5958,120.072,661.8202,0.012698,0.023939,9.0493,0.33575,0.027611,13.1581,0.008242,23.1502,0.0257839999999999,0.44115,149.8628,0.0031375,0.45078,1.7719,64.3712,241.7393,-0.043363,7.4163,0.10117,0.083977,0.44341,8.0366,4.1561,180.8158,0.36843,0.090111,1374.9927,20.6312,0.018209,-1.2004,0.0059975,1536170
0.0268339999999999,0.69235,0.001883,1989.0859,148.4607,681.1747,0.023785,0.014656,12.5141,0.28601,0.023203,4.0345,0.0075445999999999,29.7465,0.020411,0.31226,188.8855,0.15943,0.39698,19.0991,81.0446,124.6634,0.077497,1.6141,23.4313,1.4271,0.6658,17.6497,3.5506,179.4092,0.018341,0.05025,1203.7283,3.452,0.26949,-1.1537,0.0096413,1267518
